vendor,resource_id,task,command_id,T_cmd_ms,T_status_ms,T_coord_ms,physical_task_s,overhead_percent,task_state,piece_id
laser,laser,RUN_JOB,CMD-laser-laser-20260623T202348519216Z-000048,2.615,0.315,2.93,22.882,0.01,COMPLETED,piece-006
green_conveyors,conveyor3,RUN_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202354128436Z-000049,2.699,0.982,3.682,0.852,0.43,COMPLETED,piece-005
ufactory,xarm2,MOVE_XARM_HOME,CMD-ufactory-xarm2-20260623T202354136807Z-000050,5.906,0.161,6.066,3.962,0.15,COMPLETED,
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202358864782Z-000051,2.775,0.322,3.098,1.355,0.23,COMPLETED,piece-003
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202400243890Z-000052,8.162,0.687,8.848,10.292,0.09,COMPLETED,piece-003
green_conveyors,conveyor3,STOP_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202404136810Z-000053,1.632,0.306,1.938,0.083,2.28,COMPLETED,piece-005
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202406621544Z-000054,7.695,0.207,7.902,26.885,0.03,COMPLETED,piece-001
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202410577799Z-000055,4.19,0.194,4.384,10.339,0.04,COMPLETED,piece-005
ufactory,xarm1,MOVE_PIECE,CMD-ufactory-xarm1-20260623T202411415007Z-000056,6.075,0.141,6.216,14.94,0.04,COMPLETED,piece-006
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202420941970Z-000057,1.6,0.412,2.012,1.554,0.13,COMPLETED,piece-005
niryo,conveyor2,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor2-20260623T202421645394Z-000058,4.267,0.36,4.626,9.363,0.05,COMPLETED,
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202422514596Z-000059,7.575,0.222,7.797,16.455,0.05,COMPLETED,piece-005
green_conveyors,conveyor4,RUN_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202433536760Z-000060,1.709,0.336,2.045,0.834,0.24,COMPLETED,piece-001
niryo,robot2,RETURN_HOME,CMD-niryo-robot2-20260623T202433544958Z-000061,7.116,0.107,7.223,9.352,0.08,COMPLETED,
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202438997398Z-000062,1.64,0.38,2.02,1.355,0.15,COMPLETED,piece-005
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202440368566Z-000063,5.038,0.172,5.209,10.541,0.05,COMPLETED,piece-005
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202442929869Z-000064,9.705,0.714,10.419,36.787,0.03,COMPLETED,piece-004
green_conveyors,conveyor4,STOP_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202448043974Z-000065,2.208,1.53,3.738,0.085,4.22,COMPLETED,piece-001
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202450940474Z-000066,6.582,0.698,7.28,10.419,0.07,COMPLETED,piece-001
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202501385146Z-000067,2.197,0.404,2.601,1.556,0.17,COMPLETED,piece-001
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202502955091Z-000068,6.169,0.387,6.557,13.898,0.05,COMPLETED,piece-001
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202516877277Z-000069,1.49,0.42,1.91,1.355,0.14,COMPLETED,piece-001
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202518252567Z-000070,5.002,0.278,5.28,8.928,0.06,COMPLETED,piece-001
bantam,bantam,RUN_JOB,CMD-bantam-bantam-20260623T202519757672Z-000071,9.357,1.071,10.428,49.05,0.02,COMPLETED,piece-004
niryo,robot2,CAPTURE_LOCAL_VISION,CMD-niryo-robot2-20260623T202519762789Z-000072,16.77,0.364,17.135,6.026,0.28,COMPLETED,piece-006
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202525841365Z-000073,8.733,0.199,8.932,17.688,0.05,COMPLETED,piece-006
green_conveyors,conveyor4,RUN_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202543571070Z-000074,2.804,0.274,3.078,0.851,0.36,COMPLETED,piece-006
niryo,robot2,RETURN_HOME,CMD-niryo-robot2-20260623T202543582167Z-000075,20.358,0.306,20.664,9.395,0.22,COMPLETED,
green_conveyors,conveyor4,STOP_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202558080577Z-000076,4.178,0.662,4.841,0.083,5.5,COMPLETED,piece-006
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202558183861Z-000077,12.785,0.547,13.332,10.588,0.13,COMPLETED,piece-006
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202608804981Z-000078,2.636,0.329,2.965,1.555,0.19,COMPLETED,piece-006
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202610378156Z-000079,15.493,0.735,16.228,15.676,0.1,COMPLETED,piece-006
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202610386307Z-000080,12.809,0.171,12.979,26.946,0.05,COMPLETED,piece-004
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202626086204Z-000081,2.029,0.363,2.393,1.354,0.18,COMPLETED,piece-006
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202627455972Z-000082,6.006,0.217,6.223,10.441,0.06,COMPLETED,piece-006
green_conveyors,conveyor4,RUN_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202637369686Z-000083,1.433,0.31,1.742,0.852,0.2,COMPLETED,piece-004
niryo,robot2,RETURN_HOME,CMD-niryo-robot2-20260623T202637379134Z-000084,6.886,0.547,7.433,9.472,0.08,COMPLETED,
green_conveyors,conveyor4,STOP_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202651879161Z-000085,1.821,1.675,3.496,0.084,4.0,COMPLETED,piece-004
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202651979664Z-000086,10.994,1.728,12.721,10.351,0.12,COMPLETED,piece-004
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202702364531Z-000087,1.514,0.352,1.866,1.556,0.12,COMPLETED,piece-004
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202703938032Z-000088,6.069,0.643,6.712,14.934,0.04,COMPLETED,piece-004
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202718901543Z-000089,3.664,0.549,4.213,1.357,0.31,COMPLETED,piece-004
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202720280578Z-000090,7.529,0.227,7.756,10.181,0.08,COMPLETED,piece-004
niryo,conveyor1,STOP_NIRYO_CONVEYOR,CMD-niryo-conveyor1-20260623T202730499055Z-000091,4.873,0.195,5.068,0.163,3.02,COMPLETED,
niryo,conveyor2,STOP_NIRYO_CONVEYOR,CMD-niryo-conveyor2-20260623T202730691011Z-000092,8.115,0.739,8.853,0.076,10.38,COMPLETED,
green_conveyors,conveyor3,STOP_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202730797498Z-000093,4.395,0.587,4.982,0.083,5.65,COMPLETED,
green_conveyors,conveyor4,STOP_CONVEYOR,CMD-green_conveyors-conveyor4-20260623T202730895618Z-000094,2.247,0.501,2.748,0.083,3.2,COMPLETED,
bantam,bantam,CLOSE_DOOR,CMD-bantam-bantam-20260623T202730994079Z-000095,19.97,0.637,20.607,11.809,0.17,COMPLETED,
